id_parameter,max,min,mean,std,count
PBa,,,,,0
RH,102.0,1.0,54.060511318226865,22.100827520577308,1720455
TMP,36.0,-6.2,16.737283181351913,5.181297545566335,1677727
WDR,360.0,0.0,180.8177421547348,117.4581529456923,1794968
WSP,24.8,0.0,2.283298215978972,1.5484191171117543,1794934
