date,id_parameter,max_meteorologia,min_meteorologia,mean_meteorologia,activacion_doble_no_circula
01/01/2016,PBa,,,,0
01/01/2016,RH,100.0,29.0,64.46376811594203,0
01/01/2016,TMP,25.0,2.2,15.516485507246378,0
01/01/2016,WDR,360.0,1.0,175.3913043478261,0
01/01/2016,WSP,6.3,0.2,1.8460144927536233,0
01/01/2017,PBa,,,,0
01/01/2017,RH,93.0,25.0,56.25088339222615,0
01/01/2017,TMP,24.7,0.6,14.654593639575971,0
01/01/2017,WDR,360.0,1.0,169.4946996466431,0
01/01/2017,WSP,6.3,0.0,1.7051236749116607,0
01/01/2018,PBa,,,,0
01/01/2018,RH,94.0,25.0,56.788121990369184,0
01/01/2018,TMP,20.5,-1.4,11.972954924874792,0
01/01/2018,WDR,359.0,0.0,210.42237061769617,0
01/01/2018,WSP,6.7,0.3,2.226043405676127,0
01/01/2019,PBa,,,,1
01/01/2019,RH,95.0,13.0,47.03623188405797,1
01/01/2019,TMP,25.2,-1.7,13.962499999999999,1
01/01/2019,WDR,359.0,0.0,170.54006410256412,1
01/01/2019,WSP,8.5,0.0,1.7331730769230769,1
01/01/2020,PBa,,,,0
01/01/2020,RH,93.0,23.0,52.38610038610039,0
01/01/2020,TMP,25.4,4.0,15.976702508960573,0
01/01/2020,WDR,360.0,4.0,174.55518945634267,0
01/01/2020,WSP,9.6,0.4,3.5222405271828667,0
01/01/2021,PBa,,,,0
01/01/2021,RH,85.0,1.0,32.41516966067864,0
01/01/2021,TMP,25.4,-2.5,12.400189393939394,0
01/01/2021,WDR,360.0,1.0,162.67361111111111,0
01/01/2021,WSP,9.1,0.2,2.6977430555555557,0
01/01/2022,PBa,,,,0
01/01/2022,RH,100.0,12.0,44.756653992395435,0
01/01/2022,TMP,27.2,-0.1,15.330798479087452,0
01/01/2022,WDR,360.0,0.0,172.53358208955223,0
01/01/2022,WSP,6.2,0.0,1.4333955223880597,0
01/01/2023,RH,100.0,26.0,57.43881118881119,1
01/01/2023,TMP,25.2,0.4,13.449429657794676,1
01/01/2023,WDR,359.0,1.0,158.8488160291439,1
01/01/2023,WSP,6.6,0.0,1.8903460837887067,1
01/01/2024,RH,100.0,8.0,50.34803921568628,1
01/01/2024,TMP,25.0,0.0,12.255494505494505,1
01/01/2024,WDR,360.0,0.0,172.2069970845481,1
01/01/2024,WSP,14.9,0.2,3.489212827988338,1
01/01/2025,RH,73.0,22.0,35.0625,0
01/01/2025,TMP,15.3,2.2,11.450000000000001,0
01/01/2025,WDR,315.0,8.0,223.21052631578948,0
01/01/2025,WSP,7.4,1.5,3.952631578947368,0
01/02/2016,PBa,,,,0
01/02/2016,RH,88.0,13.0,39.495,0
01/02/2016,TMP,26.7,0.3,15.8715,0
01/02/2016,WDR,360.0,1.0,175.96006944444446,0
01/02/2016,WSP,10.3,0.1,1.9741319444444443,0
01/02/2017,PBa,,,,0
01/02/2017,RH,94.0,20.0,48.23951048951049,0
01/02/2017,TMP,24.1,0.8,14.971328671328672,0
01/02/2017,WDR,360.0,0.0,173.97727272727272,0
01/02/2017,WSP,7.5,0.1,1.9351398601398604,0
01/02/2018,PBa,,,,0
01/02/2018,RH,92.0,10.0,48.579130434782606,0
01/02/2018,TMP,25.0,0.2,14.336297640653358,0
01/02/2018,WDR,360.0,0.0,169.96,0
01/02/2018,WSP,6.4,0.0,1.7869565217391303,0
01/02/2019,PBa,,,,0
01/02/2019,RH,86.0,9.0,36.692870201096895,0
01/02/2019,TMP,25.4,-1.7,14.175868372943327,0
01/02/2019,WDR,360.0,2.0,170.78355704697987,0
01/02/2019,WSP,5.7,0.0,1.7399328859060403,0
01/02/2020,PBa,,,,0
01/02/2020,RH,88.0,26.0,55.5018115942029,0
01/02/2020,TMP,22.2,2.7,14.065666666666665,0
01/02/2020,WDR,360.0,1.0,209.93815987933635,0
01/02/2020,WSP,7.8,0.1,2.1987933634992456,0
01/02/2021,PBa,,,,0
01/02/2021,RH,89.0,27.0,58.74583333333333,0
01/02/2021,TMP,23.0,4.4,13.3390350877193,0
01/02/2021,WDR,360.0,0.0,259.1609848484849,0
01/02/2021,WSP,6.4,0.2,2.7543560606060606,0
01/02/2022,PBa,,,,0
01/02/2022,RH,93.0,14.0,40.78451882845188,0
01/02/2022,TMP,26.5,2.1,15.761087866108786,0
